id,aff_id,value,created_at
tx001,aff_01,125.50,2025-05-01 09:15:23 
tx002,aff_02,87.25,2025-05-01 09:32:41 
tx003,aff_03,203.75,2025-05-01 09:45:12 
tx004,aff_01,156.00,2025-05-01 10:12:33 
tx005,aff_04,94.80,2025-05-01 10:28:56 
tx006,aff_05,78.90,2025-05-01 10:41:19 
tx007,aff_02,189.25,2025-05-01 11:03:44 
tx008,aff_03,112.60,2025-05-01 11:19:07 
tx009,aff_01,298.45,2025-05-01 11:34:52 
tx010,aff_04,145.30,2025-05-01 11:47:18 
tx011,aff_05,67.85,2025-05-01 12:05:36 
tx012,aff_02,234.70,2025-05-01 12:21:49 
tx013,aff_03,98.15,2025-05-01 12:38:12 
tx014,aff_01,176.25,2025-05-01 12:54:37 
tx015,aff_04,89.60,2025-05-01 13:11:25 
tx016,aff_05,201.90,2025-05-01 13:27:48 
tx017,aff_02,134.35,2025-05-01 13:44:13 
tx018,aff_03,267.80,2025-05-01 14:00:56 
tx019,aff_01,92.40,2025-05-01 14:17:19 
tx020,aff_04,158.75,2025-05-01 14:33:42 
tx021,aff_05,83.20,2025-05-01 14:50:08 
tx022,aff_02,219.65,2025-05-01 15:06:31 
tx023,aff_03,145.90,2025-05-01 15:22:54 
tx024,aff_01,78.35,2025-05-01 15:39:17 
tx025,aff_04,192.80,2025-05-01 15:55:43 
tx026,aff_05,126.45,2025-05-01 16:12:06 
tx027,aff_02,87.70,2025-05-01 16:28:29 
tx028,aff_03,254.15,2025-05-01 16:44:52 
tx029,aff_01,103.60,2025-05-01 17:01:18 
tx030,aff_04,178.25,2025-05-01 17:17:41 
tx031,aff_05,94.90,2025-05-01 17:34:04 
tx032,aff_02,161.35,2025-05-01 17:50:27 
tx033,aff_03,89.80,2025-05-01 18:06:53 
tx034,aff_01,237.45,2025-05-01 18:23:16 
tx035,aff_04,112.70,2025-05-01 18:39:39 
tx036,aff_05,186.25,2025-05-01 18:56:02 
tx037,aff_02,98.60,2025-05-01 19:12:28 
tx038,aff_03,159.95,2025-05-01 19:28:51 
tx039,aff_01,74.30,2025-05-01 19:45:14 
tx040,aff_04,223.85,2025-05-01 20:01:37 
tx041,aff_05,137.40,2025-05-01 20:18:03 
tx042,aff_02,85.75,2025-05-01 20:34:26 
tx043,aff_03,201.20,2025-05-01 20:50:49 
tx044,aff_01,118.65,2025-05-01 21:07:12 
tx045,aff_04,76.90,2025-05-01 21:23:38 
tx046,aff_05,195.35,2025-05-01 21:40:01 
tx047,aff_02,142.80,2025-05-01 21:56:24 
tx048,aff_03,91.25,2025-05-01 22:12:47 
tx049,aff_01,268.70,2025-05-01 22:29:13 
tx050,aff_04,105.15,2025-05-01 22:45:36 
tx051,aff_05,179.60,2025-05-01 23:01:59 
tx052,aff_02,93.45,2025-05-01 23:18:22 
tx053,aff_03,167.90,2025-05-01 23:34:48 
tx054,aff_01,81.35,2025-05-01 23:51:11 
tx055,aff_04,239.80,2025-05-02 00:07:34 
tx056,aff_05,124.25,2025-05-02 00:23:57 
tx057,aff_02,88.70,2025-05-02 00:40:23 
tx058,aff_03,212.15,2025-05-02 00:56:46 
tx059,aff_01,156.60,2025-05-02 01:13:09 
tx060,aff_04,79.95,2025-05-02 01:29:32 
tx061,aff_05,184.40,2025-05-02 01:45:58 
tx062,aff_02,108.85,2025-05-02 02:02:21 
tx063,aff_03,97.30,2025-05-02 02:18:44 
tx064,aff_01,253.75,2025-05-02 02:35:07 
tx065,aff_04,131.20,2025-05-02 02:51:33 
tx066,aff_05,86.65,2025-05-02 03:07:56 
tx067,aff_02,175.10,2025-05-02 03:24:19 
tx068,aff_03,119.55,2025-05-02 03:40:42 
tx069,aff_01,92.90,2025-05-02 03:57:08 
tx070,aff_04,206.35,2025-05-02 04:13:31 
tx071,aff_05,148.80,2025-05-02 04:29:54 
tx072,aff_02,84.25,2025-05-02 04:46:17 
tx073,aff_03,229.70,2025-05-02 05:02:43 
tx074,aff_01,113.15,2025-05-02 05:19:06 
tx075,aff_04,77.60,2025-05-02 05:35:29 
tx076,aff_05,191.05,2025-05-02 05:51:52 
tx077,aff_02,135.50,2025-05-02 06:08:18 
tx078,aff_03,89.95,2025-05-02 06:24:41 
tx079,aff_01,264.40,2025-05-02 06:41:04 
tx080,aff_04,102.85,2025-05-02 06:57:27 
tx081,aff_05,176.30,2025-05-02 07:13:53 
tx082,aff_02,95.75,2025-05-02 07:30:16 
tx083,aff_03,159.20,2025-05-02 07:46:39 
tx084,aff_01,83.65,2025-05-02 08:03:02 
tx085,aff_04,227.10,2025-05-02 08:19:28 
tx086,aff_05,116.55,2025-05-02 08:35:51 
tx087,aff_02,91.00,2025-05-02 08:52:14 
tx088,aff_03,204.45,2025-05-02 09:08:37 
tx089,aff_01,138.90,2025-05-02 09:25:03 
tx090,aff_04,75.35,2025-05-02 09:41:26 
tx091,aff_05,189.80,2025-05-02 09:57:49 
tx092,aff_02,123.25,2025-05-02 10:14:12 
tx093,aff_03,86.70,2025-05-02 10:30:38 
tx094,aff_01,251.15,2025-05-02 10:47:01 
tx095,aff_04,129.60,2025-05-02 11:03:24 
tx096,aff_05,94.05,2025-05-02 11:19:47 
tx097,aff_02,167.50,2025-05-02 11:36:13 
tx098,aff_03,111.95,2025-05-02 11:52:36 
tx099,aff_01,88.40,2025-05-02 12:08:59 
tx100,aff_04,213.85,2025-05-02 12:25:22